ID,Author Name,Author Disambiguation,Perseus Catalog ID,Wikipedia Entry,Trismegistos ID
272,Ephraem Graecus,"Ephraem Graecus (Greek, theology, AD 300 - 399)",,https://en.wikipedia.org/wiki/Ephrem_the_Syrian#Greek_Ephrem,https://www.trismegistos.org/author/272
23,Aischines orator,"Aischines orator (Greek, rhetoric, poetry epigram, BC 389 - 314)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.31,https://en.wikipedia.org/wiki/Aeschines,https://www.trismegistos.org/author/23
42,Alkman,"Alkman (Greek, poetry lyric, BC 699 - 600)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.57,https://en.wikipedia.org/wiki/Alcman,https://www.trismegistos.org/author/42
4776,Xenophanes of Kolophon,"Xenophanes of Kolophon (Greek, philosophy presocratic Eleatic, poetry epigram, lyric, elegy, history, BC 570 - 478 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1497,https://en.wikipedia.org/wiki/Xenophanes,https://www.trismegistos.org/author/4776
613,Orosius,"Orosius (Latin, history, AD 375 about - 418 after)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1675,https://en.wikipedia.org/wiki/Orosius,https://www.trismegistos.org/author/613
715,Priscianus,"Priscianus (Latin, grammar, fl. AD 500 - 520)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1179,https://en.wikipedia.org/wiki/Priscian,https://www.trismegistos.org/author/715
859,Simplicius,"Simplicius (Greek, philosophy Neoplatonic, AD 490 - 560)",,https://en.wikipedia.org/wiki/Simplicius_of_Cilicia,https://www.trismegistos.org/author/859
426,Ioannes Philoponos,"Ioannes Philoponos (Greek, philosophy, medicine, AD 490 - 580)",,https://en.wikipedia.org/wiki/John_Philoponus,https://www.trismegistos.org/author/426
102,Archimedes,"Archimedes (Greek, science, mathematics, poetry epigram, BC 287 - 212 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.176,https://en.wikipedia.org/wiki/Archimedes,https://www.trismegistos.org/author/102
22,Ailianos,"Ailianos (Greek, history, AD 175 - 235 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.19,https://en.wikipedia.org/wiki/Claudius_Aelianus,https://www.trismegistos.org/author/22
186,Chrysippos,"Chrysippos (Greek, philosophy Stoa, BC 281 - 204)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.363,https://en.wikipedia.org/wiki/Chrysippus,https://www.trismegistos.org/author/186
956,Venantius Fortunatus,"Venantius Fortunatus (Latin, poetry, AD 530 - 609 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.635,https://en.wikipedia.org/wiki/Venantius_Fortunatus,https://www.trismegistos.org/author/956
6227,Anonymus of the Suidas,"Anonymus of the Suidas (Greek, lexicography, AD 900 - 999)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1722,https://en.wikipedia.org/wiki/Suda,https://www.trismegistos.org/author/6227
277,Epiphanios,"Epiphanios (Greek, theology, history, AD 310 - 403 about)",,https://en.wikipedia.org/wiki/Epiphanius_of_Salamis,https://www.trismegistos.org/author/277
7364,Anonymi of the Panegyrici Latini,"Anonymi of the Panegyrici Latini (Latin, rhetoric, AD 289 - 389)",,https://en.wikipedia.org/wiki/Panegyrici_Latini,https://www.trismegistos.org/author/7364
531,Lykophron,"Lykophron (Greek, poetry tragedy, poetry satire, grammar, BC 320 - 200)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.857,https://en.wikipedia.org/wiki/Lycophron,https://www.trismegistos.org/author/531
5946,Blossius Aemilius Dracontius,"Blossius Aemilius Dracontius (Latin, poetry, AD 400 - 499)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.535,https://en.wikipedia.org/wiki/Dracontius,https://www.trismegistos.org/author/5946
286,Euagrios of Pontos,"Euagrios of Pontos (Greek, religion, AD 345 - 399)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.613,https://en.wikipedia.org/wiki/Evagrius_Ponticus,https://www.trismegistos.org/author/286
319,Florus,"Florus (Latin, history, AD 74 - 130 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.633,https://en.wikipedia.org/wiki/Florus,https://www.trismegistos.org/author/319
1060,Iustinus,"Iustinus (Latin, history, fl. AD 150)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.799,https://en.wikipedia.org/wiki/Justin_(historian),https://www.trismegistos.org/author/1060
323,Fronto,"Fronto (Latin / Greek, rhetoric, AD 100 - 165 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.640,https://en.wikipedia.org/wiki/Marco_Cornelio_Fronto,https://www.trismegistos.org/author/323
1938,Aulus Cornelius Celsus,"Aulus Cornelius Celsus (Latin, medicine, encyclopedia, BC 25 - AD 50 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.340,https://en.wikipedia.org/wiki/Aulus_Cornelius_Celsus,https://www.trismegistos.org/author/1938
379,Herondas,"Herondas (Greek, poetry, comedy, BC 299 - 200)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.725,https://en.wikipedia.org/wiki/Herondas,https://www.trismegistos.org/author/379
325,Gaius,"Gaius (Latin, law, AD 110 - 180 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.647,https://en.wikipedia.org/wiki/Gaius_(jurist),https://www.trismegistos.org/author/325
370,Hermas,"Hermas (Greek, theology, AD 100 - 199)",,https://en.wikipedia.org/wiki/Hermas_(freedman),https://www.trismegistos.org/author/370
900,Tatianos,"Tatianos (Greek / Syriac, theology, AD 120 - 180)",,https://en.wikipedia.org/wiki/Tatian,https://www.trismegistos.org/author/900
203,Gaius Cornelius Gallus,"Gaius Cornelius Gallus (Latin / Greek, poetry elegy, rhetoric, BC 70 - 26 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.653,https://en.wikipedia.org/wiki/Cornelius_Gallus,https://www.trismegistos.org/author/203
