english_label,french_label,latin_label,q_identifier,mediate_label,viaf_id,mediate_nb_items,mediate_nb_collections,english_aliases,french_aliases,latin_aliases,writing_languages
Caelius Aurelianus,Caelius Aurelianus,Caelius Aurelianus,Q2514828,Caelius Aurelianus,102322199,18,16,[],"[""C\u00e9lius Aur\u00e9lien""]",[],"[""Latin""]"
Marius Mercator,Marius Mercator,Marius Mercator,Q2574348,"Mercator, Marius",60905671,8,8,[],[],"[""Marius Mercator Scriptor ecclesiasticus"", ""Marius Mercator Afer""]","[""Latin""]"
Publius Rutilius Lupus,Publius Rutilius Lupus,Publius Rutilius Lupus,Q13410930,"Rutilius Lupus, Publius (rhetorician)",100211635,10,10,"[""Rutilius Lupus""]",[],"[""Rutilius Lupus"", ""Rutilius Lupus Rhetor""]","[""Latin""]"
Antoninus Liberalis,Antoninus Liberalis,Antoninus Liberalis,Q443765,Antoninus Liberalis,251871635,32,27,[],[],[],"[""Ancient Greek""]"
Artemidorus,Artémidore de Daldis,Artemidorus Daldianus,Q445848,Artemidorus Daldianus,61683125,26,25,[],"[""Art\u00e9midore d'\u00c9ph\u00e8se""]",[],"[""Ancient Greek""]"
Scylax of Caryanda,Scylax de Caryanda,Scylax Caryandensis,Q453311,pseudo-Scylax of Caryanda,291988135,14,13,[],[],"[""Scylax"", ""Scylax Periegeta""]","[""Ancient Greek""]"
Maximus of Tyre,Maxime de Tyr,Maximus Tyrius,Q456649,Maximus of Tyre,100903442,81,72,[],"[""Cassius Maximus Tyrius""]","[""Maximus Philosophus"", ""Maximus Tyrius Philosophus"", ""Maximus Sophista""]","[""Ancient Greek""]"
Bion of Smyrna,Bion de Smyrne,Bion Smyrnaeus,Q463364,Bion of Smyrna,7476159477558427990005,94,73,"[""Bion of Phlossa"", ""Bion"", ""of Phlossa near Smyrna"", ""of Phlossa"", ""of Smyrna"", ""Bion of Phlossa near Smyrna""]","[""Bion de Phlossa""]","[""Bion Bucolicus""]","[""Ancient Greek""]"
Xenophon of Ephesus,Xénophon d'Éphèse,Xenophon Ephesius,Q463564,Xenophon of Ephesus,83987541,16,15,[],"[""X\u00e9nophon le Jeune"", ""Xenophon d'Ephese""]","[""Xenophon Ephesius Scriptor eroticus"", ""Xenophon Scriptor eroticus"", ""Xenophon Ephesinus""]","[""Ancient Greek""]"
Apollonius Dyscolus,Apollonios Dyscole,Apollonius Dyscolus,Q472809,Apollonius Dyscolus,111130260,8,8,[],[],[],"[""Ancient Greek""]"
Polyaenus,Polyen,Polyaenus,Q537755,Polyaenus,15564840,40,39,"[""Poly\u00e6nus""]",[],"[""Polyaenus Macedo"", ""Polyaenus Rhetor""]","[""Ancient Greek""]"
Philemon,Philémon,Philemon,Q547681,Philemon Syracusanus,231019921,47,39,"[""Philemon of Syracuse""]",[],"[""Philemon Syracusanus"", ""Philemon Comicus""]","[""Ancient Greek""]"
Julius Pollux,Julius Pollux,Iulius Pollux,Q548104,"Pollux, Julius",2991030,72,60,"[""Pollux"", ""Iulius Pollux""]",[],"[""Julius Pollux"", ""Iulius Pollux Grammaticus"", ""Pollux Naucratites"", ""Iulius Pollux Naucraticus"", ""Juliux Pollux Grammaticus"", ""Pollux Grammaticus""]","[""Ancient Greek""]"
Hephaestion,Héphestion d'Alexandrie,Hephaestion,Q549010,Hephaestion Alexandrinus,265864593,8,7,"[""Hephaestio"", ""Hephaistion"", ""Hephaestion of Alexandria""]",[],"[""Hephaestion Alexandrinus"", ""Hephaestion Grammaticus""]","[""Ancient Greek""]"
Procopius of Gaza,Procope de Gaza,Procopius Gazaeus,Q557776,Procopius of Gaza,48159479,10,10,"[""Prokopios of Gaza""]",[],"[""Procopius Scriptor ecclesiasticus"", ""Procopius Rhetor""]","[""Ancient Greek""]"
Palaephatus,Paléphate,Palaephatus,Q580565,Palaephatus,100181721,30,28,[],"[""Palaephatus"", ""Palaiphatos"", ""Pala\u00e9phate""]","[""Palaephatus Mythographus""]","[""Ancient Greek""]"
Jamblichus,Jamblique,Iamblichus,Q666210,Iamblichus,41992412,123,86,"[""Iamblichus"", ""Iamblichos""]","[""Jamblique le Syrien""]","[""Iamblichus Syrus""]","[""Ancient Greek""]"
Philostratus of Lemnos,Philostrate de Lemnos,Philostratus Lemnius,Q691292,Philostratus the Elder,72203785,42,37,"[""Philostratus the Elder""]","[""Philostrate l'Ancien""]","[""Philostratus Maior Sophista"", ""Philostratus Major Sophista"", ""Philostratus Lemnius Sophista""]","[""Ancient Greek""]"
Theon of Smyrna,Théon de Smyrne,Theon Smyrnaeus,Q705950,Theon of Smyrna,56588190,8,8,[],"[""Theon de Smyrne"", ""Theon of Smyrna""]","[""Theon of Smyrna"", ""Theon Philosophus""]","[""Ancient Greek""]"
Isidore of Pelusium,Isidore de Péluse,Isidorus Pelusiota,Q713530,Isidore of Pelusium (saint),63872189,20,20,[],"[""Isidoros de P\u00e9luse"", ""Isidore de Peluse""]",[],"[""Ancient Greek""]"
Harpocration,Harpocration,Harpocration,Q721412,"Harpocration, Valerius",211435698,50,39,"[""Valerius Harpocration""]","[""Valerius Harpocration""]","[""Harpocration Grammaticus"", ""Valerius Harpocration""]","[""Ancient Greek""]"
Alcinous,Alcinoos,Alcinous,Q936686,Alcinous,301986016,8,8,"[""Alkinoos"", ""Alkinous""]","[""Alcinoos le Philosophe"", ""Alcinous le Sto\u00efcien""]","[""Alcinous Platonicus"", ""Alcinous Philosophus""]","[""Ancient Greek""]"
Oribasius,Oribase,Oribasius,Q953784,Oribasius,7440344,22,18,"[""Oribasius of Pergamum""]","[""Oreibasios de Pergame""]","[""Oribasius Medicus""]","[""Ancient Greek""]"
Moschus,Moschos,Moschus,Q957548,Moschus,299323588,103,74,"[""Moschus of Syracuse"", ""Moschos of Syracuse""]","[""Moschos de Syracuse""]","[""Moschus Bucolicus"", ""Moschus Syracusanus""]","[""Ancient Greek""]"
Nemesius,Némésios,Nemesius Emesenus,Q960345,Nemesius of Emesa (bishop),42630277,28,27,"[""Nemesius of Emesa"", ""Nemesius Emesenus""]","[""Nemesius"", ""N\u00e9m\u00e9sius d'Em\u00e8se"", ""N\u00e9m\u00e9sius""]","[""Nemesius"", ""Nemesius Theologus""]","[""Ancient Greek""]"
Philostratus the Younger,Philostrate le Jeune,Philostratus IV,Q1231472,Philostratus the Younger,14850802,35,31,"[""Philostratus IV"", ""Philostratus of Lemnos""]",[],"[""Philostratus Junior Sophista"", ""Philostratus Iunior Sophista""]","[""Ancient Greek""]"
Hesychius of Jerusalem,Hésychios de Jérusalem,Hesychius Hierosolymitanus,Q1616094,Hesychius of Jerusalem,262453640,3,3,[],[],"[""Hesychius Hierosolymitanus Presbyter""]","[""Ancient Greek""]"
Coluthus,Coluthos,Colluthus,Q1779484,Colluthus,62351876,15,13,"[""Colluthus"", ""Colluthus of Lycopolis""]","[""Colouthos"", ""Colluthos""]","[""Coluthus"", ""Colluthus Epicus"", ""Colluthus Lycopolitanus""]","[""Ancient Greek""]"
Aphthonius of Antioch,Aphthonios,Aphthonius Antiochenus,Q4441106,Aphthonius of Antioch,265112315,84,62,"[""Aphthonius""]",[],"[""Aphthonius Rhetor"", ""Aphthonius""]","[""Ancient Greek""]"
Symeon of Mesopotamia,Syméon de Mésopotamie,Symeon Mesopotamius,Q9348898,Macarius of Egypt (saint),93095832,24,23,[],[],"[""Symeon Mesopotamiae""]","[""Ancient Greek""]"
Pseudo-Nonnus,Pseudo-Nonnos,Pseudo-Nonnus,Q24962922,Nonnus of Panopolis,61564416,54,40,[],[],"[""Nonnus Abbas""]","[""Ancient Greek""]"
Ephrem the Syrian,Éphrem le Syriaque,Ephraem Syrus,Q200608,Ephrem the Syrian,100177778,6,5,"[""Ephraim the Syrian"", ""Ephraem Syrus""]","[""Ephraem le Syrien"", ""\u00c9phrem le Syrien"", ""Ephrem le Syrien"", ""Saint Ephrem le Syrien"", ""\u00c9phrem de Nisibe"", ""\u00c9phr\u00e8me le Syrien""]","[""Ephraem Graecus""]","[""Syriac""]"
Aeneas of Gaza,Énée de Gaza,Aeneas Gazaeus,Q137152,Aeneas of Gaza,85151247927244270006,3,3,[],[],"[""Aeneas Rhetor"", ""Aeneas Philosophus""]","[""Ancient Greek""]"
Hero of Alexandria,Héron d'Alexandrie,Heron Alexandrinus,Q161853,Heron of Alexandria,50151776733818010028,16,13,"[""Hero""]","[""Heron d'Alexandrie"", ""H\u00e9ron d\u2019Alexandrie"", ""H\u00e9ron l'Ancien""]","[""Hero Mechanicus"", ""Hero Alexandrinus"", ""Heron Mechanicus""]","[""Ancient Greek""]"
Polycarp,Polycarpe de Smyrne,Polycarpus Smyrnaeus,Q192371,Polycarp (saint),2475604,18,18,"[""Polycarp of Smyrna"", ""Bishop Polycarp"", ""Bishop Polycarp of Smyrna""]","[""saint Polycarpe de Smyrne""]","[""Polycarpus Smyrnensis""]","[""Ancient Greek""]"
Corinna,Corinne,Corinna,Q241132,Corinna,7407161332389852420005,7,7,"[""Corinna of Tanagra""]","[""Corinna""]","[""Corinna Lyrica"", ""Corinna Tanagraea""]","[""Ancient Greek""]"
Praxilla,Praxilla,Praxilla,Q278711,Praxilla of Sicyon,44692841,6,6,[],"[""Praxilla de Sicyone""]","[""Praxilla Sicyonia"", ""Praxilla Lyrica"", ""Praxilla Poeta""]","[""Ancient Greek""]"
Pedanius Dioscorides,Dioscoride,Dioscorides,Q297776,Pedanius Dioscorides,78822798,80,62,"[""Dioscorides""]","[""\u0394\u03b9\u03bf\u03c3\u03ba\u03bf\u03c5\u03c1\u03af\u03b4\u03b7\u03c2 \u03bf \u03a0\u03b5\u03b4\u03ac\u03bd\u03b9\u03bf\u03c2"", ""Pedanius Dioscorides"", ""\u0394\u03b9\u03bf\u03c3\u03ba\u03bf\u03c1\u03af\u03b4\u03b7\u03c2 Dioskorid\u00eas"", ""Dioscorides""]","[""Dioscorides Pedanius"", ""Pedanius Dioscorides"", ""Dioscurides"", ""Dioscorides Medicus""]","[""Ancient Greek""]"
Cyril of Jerusalem,Cyrille de Jérusalem,Cyrillus Hierosolymitanus,Q298654,Cyril of Jerusalem (saint),2437490,36,31,[],"[""Cyrille de Jerusalem""]","[""Cyrillus Hierosolymitanus"", ""Sanctus""]","[""Ancient Greek""]"
Athenagoras of Athens,Athénagoras d'Athènes,Athenagoras Atheniensis,Q309772,Athenagoras of Athens,106097488,45,35,"[""Saint Athenagoras of Athens"", ""Saint Athenagoras the Apologist"", ""Athenagoras""]","[""Ath\u00e9nagore d'Ath\u00e8nes"", ""Athenagoras d'Ath\u00e9nes"", ""Athenagoras d'Athenes""]","[""Athenagoras Apologeta""]","[""Ancient Greek""]"
Herodian,Hérodien,Herodianus,Q313056,Herodian of Antioch,87614586,209,154,"[""Herodianus""]","[""Herodien""]","[""Herodianus Historicus"", ""Herodianus Syrus""]","[""Ancient Greek""]"
Demetrius of Phalerum,Démétrios de Phalère,Demetrius Phalereus,Q313286,Demetrius Phalereus,22955539,16,15,"[""Demetrius of Phaleron"", ""Demetrius Phalereus""]","[""D\u00e9m\u00e9trius de Phal\u00e8re"", ""Demetrios de Phalere""]","[""Demetrius Philosophus"", ""Demetrius Historicus""]","[""Ancient Greek""]"
Gregory Thaumaturgus,Grégoire le Thaumaturge,Gregorius Neocaesariensis,Q337537,Gregory Thaumaturgus (saint),88726043,9,9,"[""Saint Gregory of Neocaesarea"", ""St. Gregory Thaumaturgus""]",[],"[""Gregorius Thaumaturgus Neocaesariensis"", ""Gregorius Thaumaturgus""]","[""Ancient Greek""]"
Eunapius,Eunape,Eunapius,Q343018,Eunapius,100215825,18,16,[],"[""Eunapius"", ""Eunape de Sardes""]","[""Eunapius Historicus"", ""Eunapius Philosophus"", ""Eunapius Sardianus""]","[""Ancient Greek""]"
Apollinaris of Laodicea,Apollinaire de Laodicée,Apollinaris Laodicensis,Q367946,Apollinaris of Laodicea,261762494,19,18,"[""Apollinaris"", ""Apollinarius of Laodicea""]","[""Apollinaire de Laodicee""]","[""Apollinarius Laodicensis""]","[""Ancient Greek""]"
Onasander,Onosandre,Onasander,Q373042,Onosander,285771738,6,6,[],"[""Onosander""]","[""Onesander Tacticus""]","[""Ancient Greek""]"
Aelianus Tacticus,Élien le Tacticien,Aelianus Tacticus,Q380793,Aelianus Tacticus,72639048,26,24,[],"[""\u00c9lien l'A\u00een\u00e9"", ""\u00c9lien""]",[],"[""Ancient Greek""]"
Aelius Herodianus,Aelius Herodianus,Aelius Herodianus,Q380826,Aelius Herodianus (grammarian),88626271,6,6,"[""Herodian""]","[""H\u00e9rodien d'Alexandrie"", ""H\u00e9rodien""]","[""Herodianus Grammaticus"", ""Aelius Herodianus Technicus"", ""Herodianus Alexandrinus""]","[""Ancient Greek""]"
Philostorgius,Philostorge,Philostorgius,Q380943,Philostorgius,88747658,18,17,"[""Philostrogius""]","[""Philostorgios""]","[""Philostorgius Cappadox"", ""Philostrogius"", ""Philostorgius Scriptor ecclesiasticus""]","[""Ancient Greek""]"
Sozomen,Sozomène,Sozomenus,Q354350,"Sozomenus, Hermias",305409681,50,48,"[""Hermias Sozomenus""]","[""Sozomen"", ""Sozomene""]","[""Sozomenus Scriptor ecclesiasticus"", ""Hermias Sozomenus"", ""Salaminius Hermias Sozomenus""]","[""Ancient Greek""]"
Theophylact of Ohrid,Théophylacte d'Ohrid,Theophylactus Achridensis,Q1247278,Theophylact of Ohrid,69730041,69,47,[],"[""Th\u00e9ophylacte d'Achrida"", ""Th\u00e9ophylacte d'Ochrid"", ""Th\u00e9ophylacte de Bulgarie""]","[""Theophylactus Ochridensis"", ""Theophylactus Bulgarorum archiepiscopus"", ""Theophylactus Bulgarias"", ""Theophylactus de Achrida""]","[""Medieval Greek""]"
John the Lydian,Jean le Lydien,Ioannes Lydus,Q1389145,"Lydus, Johannes",109213110,1,1,"[""John Lydus"", ""Ioannes Laurentius Lydus""]","[""Jean Lydus""]","[""Iohannes Lydus"", ""Ioannes Laurentius Lydus""]","[""Medieval Greek""]"
Zosimus,Zosime,Zosimus,Q226858,Zosimus,102333329,68,62,[],[],"[""Zosimus Costantinopolitanus"", ""Zosimus Historicus""]","[""Koine Greek""]"
Ulfilas,Wulfila,Ulfilas,Q107317,Ulfilas (bishop),66477200,3,1,"[""Ulphilas"", ""Orphila"", ""Wulfila""]","[""Ulfilas"", ""Ulphilas"", ""Ulfila""]","[""Ulfila"", ""Ulfila Episcopus""]",[]
Coelius Sedulius,Coelius Sedulius,Coelius Sedulius,Q538564,Coelius Sedulius,18636329,2,2,"[""Caelius Sedulius"", ""Siadhal"", ""Sedulius""]",[],"[""Sedulius presbyter"", ""Sedulius Poeta"", ""Caelius Sedulius"", ""Sedulius""]","[""Latin""]"
Aemilius Probus,Aemilius Probus,Aemilius Probus,Q37740777,Aemilius Probus,59141391,15,15,[],[],[],"[""Latin""]"
Vegetius,Végèce,Flavius Vegetius Renatus,Q4298,"Vegetius, Publicus Flavius",100197902,96,89,"[""Vegetius Renatus"", ""Flavius Vegetius Renatus"", ""Flavius Vegetius"", ""Publius Vegetius Renatus"", ""Publius Flavius Vegetius Renatus""]","[""Vegece"", ""Vegetius""]","[""Publius Flavius Vegetius Renatus"", ""Vegetius""]","[""Latin""]"
Oppian,Oppien de Corycos,Oppianus Corycius,Q116508,Oppian of Cilicia,86913544,40,36,"[""Oppianus"", ""Oppian of Corycus"", ""Oppianos""]","[""Oppien d'Anazarbe"", ""Oppien de Cilicie"", ""Oppien""]","[""Oppianus Anazarbensis"", ""Oppianus Epicus""]","[""Ancient Greek""]"
Aristarchus of Samos,Aristarque de Samos,Aristarchus Samius,Q140188,Aristarchus of Samos,79398695,4,4,"[""Aristarchos of Samos""]",[],"[""Aristarchus Astronomus"", ""Aristarchus Samius Astronomus""]","[""Ancient Greek""]"
Diophantus of Alexandria,Diophante d'Alexandrie,Diophantus Alexandrinus,Q178217,Diophantus of Alexandria,2604182,20,20,"[""Diophantus""]","[""Diophant"", ""Diophante""]","[""Diophantus Mathematicus"", ""Diophantus""]","[""Ancient Greek""]"
Hierocles of Alexandria,Hiéroclès d'Alexandrie,Hierocles Alexandrinus,Q248840,Hierocles of Alexandria,84971648,118,98,[],[],"[""Hierocles Philosophus"", ""Hierocles Platonicus""]","[""Ancient Greek""]"
Socrates of Constantinople,Socrate le Scolastique,Socrates Scholasticus,Q336198,Socrates Scholasticus,107158790626238851415,64,61,"[""Socrates Scholasticus""]","[""Socrate Scolasticus"", ""Socrates Scholasticus"", ""Socrate de Constantinople""]","[""Socrates Constantinopolitanus"", ""Socrates Scholasticus Historicus"", ""Socrates Historicus""]","[""Ancient Greek""]"
Babrius,Babrius,Babrius,Q455523,Babrius,36151776765518010879,3,3,"[""Valerius Babrius"", ""Gabrius"", ""Gabrias"", ""Babrias""]","[""Babrias""]","[""Valerius Babrius"", ""Valerius Babrius Scriptor fabularum""]","[""Ancient Greek""]"
Aretaeus of Cappadocia,Arétée,Aretaeus Cappadox,Q505931,Aretaeus of Cappadocia,293149294368780522108,43,24,"[""Aret\u00e6us"", ""Aretaeus the Cappadocian"", ""Aretaeus""]","[""Aretee"", ""Ar\u00e9t\u00e9e de Cappadoce""]","[""Aretaeus Medicus"", ""Aretaeus Cappadocius""]","[""Ancient Greek""]"
Rufus of Ephesus,Rufus,Rufus Ephesius,Q1049225,Rufus of Ephesus,42630594,10,7,[],"[""Rufus d'\u00c9ph\u00e8se""]","[""Rufus Medicus""]","[""Ancient Greek""]"
Apollonius the Sophist,Apollonios le Sophiste,Apollonius Sophista,Q2696542,Apollonius the Sophist,266713061,8,8,[],[],[],"[""Ancient Greek""]"
Peter Chrysologus,Pierre Chrysologue,Petrus Chrysologus,Q328742,"Chrysologus, Petrus (saint)",88069141,21,19,"[""Peter the Golden-Worded"", ""St. Peter Chrysologus"", ""Petrus Chrysologus""]","[""Saint Pierre Chrysologue""]","[""Petrus Chrysologus Scriptor ecclesiasticus"", ""Petrus Ravennensis""]",[]
Cassius Longinus,Longin,Cassius Longinus,Q436634,"Longinus, Cassius Dionysius",56631326,213,143,"[""Cassius Dionisius Longinus"", ""Dionysius Cassius Longinus""]",[],"[""Longinus Rhetor"", ""Dionysius Cassius Longinus"", ""Longinus Philosophus"", ""Cassius Longinus Philosophus"", ""Cassius Longinus Rhetor""]",[]
