q_identifier,mediate_label,viaf_id,mediate_nb_items,mediate_nb_collections,trismegistos_label,trismegistos_id,english_label,french_label,latin_label,english_aliases,french_aliases,latin_aliases,writing_languages
Q1405,,,,,Augustus,138.0,Augustus,Auguste,Augustus,"[""Gaius Julius Caesar"", ""Gaius Octavius Caepias"", ""Gaius Octavian"", ""Octavius Caesar"", ""Gaius Julius Caesar Augustus"", ""Caesar Octavianus"", ""Gaius Julius Caesar Octavianus"", ""Octavianus"", ""Augustus Caesar"", ""Caius Octavius Thurinus"", ""Caius Octavius"", ""Octavian"", ""Gaius Caesar"", ""Caius Julius C\u00e6sar Octavianus"", ""Gaius Octavius"", ""Gaius Octavius Thurinus"", ""Caesar Augustus"", ""Imperator Gaius Julius Caesar Octavianus Divi Filius Augustus"", ""Gaius Julius Caesar Octavianus Augustus""]","[""C\u00e9sar Auguste"", ""Octave"", ""Gaius Julius Caesar"", ""Empereur Romain Auguste"", ""Octavius Caesar"", ""Gaius Octavius"", ""Caesar Augustus"", ""Octavien"", ""Gaius Julius Caesar Augustus""]","[""\u0393\u03ac\u03ca\u03bf\u03c2 \u1f48\u03ba\u03c4\u03b1\u03bf\u03cd\u03b9\u03bf\u03c2"", ""Imperator Caesar Divi F. Augustus"", ""Imperator Caesar Divi Filius Augustus"", ""Gaius Octavius"", ""\u039a\u03b1\u1fd6\u03c3\u03b1\u03c1 \u03a3\u03b5\u03b2\u03b1\u03c3\u03c4\u03cc\u03c2 \u03b8\u03b5\u03cc\u03c2"", ""Gaius Iulius Caesar Octavianus"", ""Imperator Caesar Divi f. Augustus""]","[""Latin""]"
Q142999,Eusebius of Caesarea,4929593,390.0,210.0,Eusebios,300.0,Eusebius of Caesarea,Eusèbe de Césarée,Eusebius Caesariensis,"[""Eusebius Pamphili"", ""Eusebius""]",[],"[""Eusebius Pamphilus"", ""Eusebius Scriptor ecclesiasticus"", ""Eusebius Pamphili"", ""Eusebius Theologus""]","[""Ancient Greek""]"
Q1430,Marcus Aurelius Antoninus (emperor),102895066,223.0,161.0,Marcus Aurelius,2952.0,Marcus Aurelius,Marc Aurèle,Marcus Aurelius,"[""Caesar Marcus Aurelius Antoninus Augustus"", ""Antoninus"", ""Marcus Annius Verus"", ""Marcus Aurelius Verus"", ""Verissimus"", ""Marcus Catilius Severus Annius Verus"", ""Marcus Aurelius Antoninus""]",[],"[""Marcus Aurelius Antoninus"", ""Marcus Aurelius Antoninus Philosophus"", ""Marcus Aurelius Antoninus Imperator""]","[""Latin"", ""Ancient Greek""]"
Q1526652,Albinovanus Pedo,8826150033013511180002,23.0,23.0,,,Albinovanus Pedo,Albinovanus Pedo,Albinovanus Pedo,"[""Gaius Pedo Albinovanus""]","[""Gaius Pedo Albinovanus"", ""Caius Pedo Albinovanus""]","[""Gaius Pedo Albinovanus""]","[""Latin""]"
Q1534037,,,,,Anonymus of the Suidas,6227.0,Suidas,Suidas,Suidas,"[""S\u016b\u00efdas"", ""Su\u00efdas"", ""Soudas"", ""Souidas""]",[],[],[]
Q1541,"Cicero, Marcus Tullius",78769600,2761.0,451.0,Cicero,187.0,Cicero,Cicéron,Marcus Tullius Cicero,"[""Tully"", ""Marcus Tullius Cicero"", ""M. Tullii Ciceronis"", ""M. Tullius Cicero""]","[""Marcus Tullius Cicero""]","[""Cicero"", ""M.Tullius M.f.M.n. Cor. Cicero""]","[""Latin""]"
Q154938,,,,,Beda Venerabilis,158.0,Bede,Bède le Vénérable,Beda,"[""Beda"", ""Doctor Anglorum"", ""Bede the Venerable"", ""Bede le Venerable"", ""Venerable Bede"", ""Beda Anglicus"", ""Saint Bede"", ""Saint Bede the Venerable"", ""Doctor of the English""]","[""Bede le Venerable"", ""B\u00e8de"", ""Saint B\u00e8de le V\u00e9n\u00e9rable"", ""Beda Venerabilis""]","[""Sanctus"", ""Beda Venerabilis""]","[""Latin""]"
Q160362,Theophrastus,265397758,419.0,268.0,Theophrastos,931.0,Theophrastus,Théophraste,Theophrastus,"[""Theophrastus of Eresos"", ""Theophr.""]","[""Theophraste"", ""Theophrastus"", ""Th\u00e9ophraste d'Ath\u00e8nes"", ""Theophr.""]","[""Theophrastus Philosophus"", ""Tyrtamus"", ""Theophrastus Eresius""]","[""Ancient Greek""]"
Q1616094,Hesychius of Jerusalem,262453640,3.0,3.0,,,Hesychius of Jerusalem,Hésychios de Jérusalem,Hesychius Hierosolymitanus,[],[],"[""Hesychius Hierosolymitanus Presbyter""]","[""Ancient Greek""]"
Q161853,Heron of Alexandria,50151776733818010028,16.0,13.0,,,Hero of Alexandria,Héron d'Alexandrie,Heron Alexandrinus,"[""Hero""]","[""Heron d'Alexandrie"", ""H\u00e9ron d\u2019Alexandrie"", ""H\u00e9ron l'Ancien""]","[""Hero Mechanicus"", ""Hero Alexandrinus"", ""Heron Mechanicus""]","[""Ancient Greek""]"
