english_label,french_label,latin_label,q_identifier,mediate_label,viaf_id,mediate_nb_items,mediate_nb_collections,english_aliases,french_aliases,latin_aliases,writing_languages,trismegistos_label,trismegistos_id
Ambrose,Ambroise de Milan,Ambrosius,Q43689,"Ambrosius, Aurelius (saint)",100227669,60,56,"[""St Ambrose"", ""Bishop of Milan Ambrose"", ""Saint Ambrose"", ""St. Ambrose"", ""Bishop of Milan Ambrogio"", ""Bishop of Milan Amvros\u012b\u012d"", ""Ambrose of Milan"", ""Bishop of Milan Aurelius Ambrosius"", ""Saint"", ""Saint Ambrose Bishop of Milan"", ""Bishop of Milan Ambroise"", ""St. Ambrosius"", ""Bp. of Milan Ambrosius"", ""Ambrosius"", ""Bishop of Milan Aurelio Ambrogio"", ""Ambrosius Mediolanensis""]","[""Saint Ambroise de Milan""]","[""Sanctus Aurelius Ambrosius"", ""Ambrosius Mediolanensis"", ""Sanctus Ambrosius""]","[""Latin""]",Ambrosius,44
Jerome,Jérôme de Stridon,Hieronymus,Q44248,"Jerome, Eusebius Sophronius (saint )",95147024,96,80,"[""Jerome of Stridon"", ""Eusebius Hieronymus"", ""Saint Hieronymus"", ""Eusebius Sophronius Hieronymus"", ""Saint Jerome"", ""Sophronius Eusebius Hieronymus"", ""Sofronius Eusebius Hieronymus"", ""Saint Heronimos"", ""St. Jerome"", ""Hieronymus""]","[""Eusebius Hieronymus"", ""J\u00e9rome de Stridon"", ""Jerome de Stridon"", ""Saint J\u00e9r\u00f4me"", ""J\u00e9r\u00f4me"", ""Eusebius Sophronius Hieronymus""]","[""Hieronymus Stridonius"", ""Sanctus Hieronymus"", ""Sophronius Eusebius Hieronymus"", ""Hieronymus Stridonensis"", ""Eusebius Sophronius Hieronymus""]","[""Latin""]",Hieronymus,386
Lycophron,Lycophron,Lycophron,Q432737,Lycophron of Chalcis,68976194,84,67,"[""Lycophron of Chalcis"", ""Lykophron"", ""Lykophron of Chalkis""]","[""Lycophron de Chalcis""]","[""Lycophron Tragicus"", ""Lycophron Alexandrinus"", ""Lycophron Chalcidicus"", ""Lycophron Chalcidensis""]","[""Ancient Greek""]",Lykophron,531
Petronius,Pétrone,Publius Petronius Niger,Q47180,"Petronius Arbiter, Gaius",95155909,389,225,"[""Petronius Arbiter"", ""Publius Petronius Niger"", ""Titus Petronius Niger"", ""Gaius Petronius Arbiter""]","[""Petronius Arbiter"", ""Petrone""]","[""T. Petronius Arbiter"", ""Petronius"", ""Petronius Arbiter"", ""C. Petronius"", ""T. Petronius"", ""Petronius Niger"", ""Titus Petronius Arbiter"", ""Gaius Petronius""]","[""Latin""]",Petronius,648
Hilary of Poitiers,Hilaire de Poitiers,Hilarius Pictaviensis,Q44344,Hilarius Pictaviensis,89595978,42,39,"[""Hammer of the Arians"", ""Athanasius of the West"", ""St. Hilary"", ""Bishop of Poitiers"", ""Saint Hilary of Poitiers"", ""Saint Hilary"", ""Hilarius Pictaviensis""]","[""Saint Hilaire de Poitiers"", ""Saint-Hilaire de Poitiers""]","[""Sanctus Hilarius""]","[""Latin""]",Hilarius of Poitiers,387
Ennius,Ennius,Quintus Ennius,Q47130,"Ennius, Quintus",84976347,39,35,"[""Quintus Ennius"", ""Ennio"", ""Quinto Ennio""]","[""Quintus Ennius"", ""Ennio"", ""Quinto Ennio""]","[""Q. Ennius"", ""Ennius"", ""Ennius Poeta""]","[""Latin""]",Ennius,270
Lucretius,Lucrèce,Lucretius,Q47154,"Lucretius, Titus Carus",106388020,631,301,"[""Titus Lucretius Carus"", ""T. Lucretius Carus"", ""Titus Carus Lucretius""]",[],"[""Titus Lucretius Carus"", ""T.Lucretius Carus"", ""Lucretius Carus Poeta""]","[""Latin""]",Lucretius,529
Plautus,Plaute,Titus Maccius Plautus,Q47160,Plautus,66462281,617,306,"[""Titus Maccius Plautus""]","[""Plautus""]","[""T. Maccius Plautus"", ""Plautus"", ""Plautus Comicus""]","[""Latin""]",Plautus,695
Chariton,Chariton d'Aphrodise,Charito Aphrodisiensis,Q434567,Chariton Aphrodisiensis,27062313,11,11,"[""Chariton of Aphrodisias""]","[""Chariton d'Aphrodisias"", ""Chariton d'Aphrodisie""]","[""Chariton scriptor eroticus""]","[""Ancient Greek""]",Chariton,181
Hesychius of Alexandria,Hésychios d'Alexandrie,Hesychius Alexandrinus,Q443510,Hesychius of Alexandria,21314508,49,44,"[""Hesychius"", ""Hesychios"", ""Hesych"", ""H\u0113sychios""]","[""Hesychios d'Alexandrie""]","[""Hesychius Lexicographus"", ""Hesychius Grammaticus""]","[""Ancient Greek""]",Hesychios of Alexandria,2531
Philostratus,Philostrate d'Athènes,Philostratus Atheniensis,Q2274948,Philostratus (Flavius),250889454,98,80,"[""Philostratus Atheniensis"", ""Lucius Flavius Philostratus"", ""Philostratus the Athenian""]","[""Philostrate l'Athenien"", ""Philostrate"", ""Philostrate l'Ath\u00e9nien""]","[""Flavius Philostratus"", ""Flavius Philostratus Atheniensis"", ""Flavius Philostratus Sophista""]","[""Ancient Greek""]",Philostratos II,679
Hippocrates,Hippocrate,Hippocrates,Q5264,Hippocrates of Kos,287984736,703,197,"[""Hippokrates of Kos"", ""Hippocrates II"", ""Hippokrates"", ""Hippocrates of Cos""]",[],"[""Hippocrates Medicus"", ""Hippocrates Cous""]","[""Ancient Greek""]",Hippokrates,390
Sophocles,Sophocle,Sophocles,Q7235,Sophocles,101760867,434,210,[],[],"[""Sophocles tragicus"", ""Sophocles Tragicus""]","[""Ancient Greek""]",Sophokles,865
Archimedes,Archimède,Archimedes,Q8739,Archimedes of Syracuse,29547910,62,48,"[""Archimedes of Syracuse""]","[""Archim\u00e8de de Syracuse""]",[],"[""Ancient Greek""]",Archimedes,102
Galen,Claude Galien,Claudius Galenus,Q8778,"Galen, Claudius",44299175,150,82,"[""Galen of Pergamon"", ""Aelius Galenus"", ""Claudius Galenus""]","[""Galien"", ""Claudius Galenus""]","[""Galenus Medicus"", ""Galenus Pergamenus"", ""Galenus""]","[""Ancient Greek""]",Galenos,326
Sappho,Sappho,Sappho,Q17892,Sappho,78770488,155,115,"[""Sapphus"", ""Psappho"", ""Sapho""]","[""Sapho""]","[""Sappho Poeta"", ""Sappho Lyrica"", ""Sappho Lesbia""]","[""Ancient Greek""]",Sappho,827
Arrian,Arrien,Lucius Flavius Arrianus,Q31845,Arrian of Nicomedia,100192636,202,139,"[""Arrian of Nicomedia"", ""Lucius Flavius Arrianus"", ""Flavius Arrian""]","[""Arrien de Nicom\u00e9die""]","[""Arrianus Nicomediensis"", ""Arrianus Bithynius"", ""Flavius Arrianus"", ""Arrianus Historicus"", ""Arrianus""]","[""Ancient Greek""]",Arrianos,123
Julian,Julien,Flavius Claudius Iulianus,Q33941,Julian (emperor),57406701,125,105,"[""Julianus II"", ""Flavius Claudius Iulianus"", ""Julian the Apostate"", ""Julian III"", ""Julian II"", ""Julianus III"", ""Flavius Claudius Julianus""]","[""Julien l'apostat"", ""Julien le philosophe"", ""Julien II dit l'Apostat"", ""Julien II"", ""Julien l\u2019Apostat"", ""Flavius Claudius Julianus""]","[""Iulianus Apostata"", ""Julianus Apostata"", ""Flavius Claudius Julianus"", ""Iulianus II"", ""Iulianus"", ""Iulianus Pius"", ""Iulianus Imperator""]","[""Ancient Greek""]",Iulianus imperator,451
Plutarch,Plutarque,Plutarchus,Q41523,Plutarch,268955446,841,381,"[""Ploutarchos"", ""Plutarch of Chaeronea"", ""Plutarchos"", ""Lucius Mestrius Plutarchus"", ""Plutarchus""]","[""Plutarque de Ch\u00e9ron\u00e9e""]","[""Plutarchus Philosophus"", ""Plutarchus Chaeronensis"", ""Plutarchus Biographus"", ""L. Mestrius Plutarchus""]","[""Ancient Greek""]",Ploutarchos,698
Democritus,Démocrite,Democritus,Q41980,Democritus,49224361,1,1,"[""Democritus of Abdera"", ""Laughing Philosopher"", ""Demokritos""]","[""D\u00e9mocrite d'Abd\u00e8re"", ""Democritus""]","[""Democritus Philosophus"", ""Democritus Abderita""]","[""Ancient Greek""]",Demokritos,225
Epicurus,Épicure,Epicurus,Q43216,Epicurus,1763151778254618130009,31,30,"[""Ep\u00edkouros"", ""Epikouros""]","[""Epicurus"", ""Epicure""]","[""Epicurus Philosophus"", ""Epicurus Samius""]","[""Ancient Greek""]",Epikouros,275
Aristophanes,Aristophane,Aristophanes,Q43353,Aristophanes,20962036,389,215,"[""Father of Comedy""]",[],"[""Aristophanes Comicus""]","[""Ancient Greek""]",Aristophanes,117
Aesop,Ésope,Aesopus,Q43423,Aesop,64013451,343,217,"[""Aesopus"", ""\u00c6\u017fop"", ""\u00c6sop"", ""Esop"", ""E\u017fope""]","[""Aesopus"", ""Esope""]","[""Aesopus Scriptor fabularum""]","[""Ancient Greek""]",Aisopos,26
Gregory of Nazianzus,Grégoire de Nazianze,Gregorius Nazianzenus,Q44011,Gregory of Nazianzus,108675755,108,86,"[""Gregorius Nazianzenus"", ""Grigorios Nazianzenos"", ""St. Gregory of Nazianzus"", ""St. Gregory Nazianzen"", ""Gregory the Theologian"", ""Gregory Nazianzen""]","[""Gregoire de Nazianze"", ""Gr\u00e9goire le Th\u00e9ologien"", ""Gr\u00e9goire de Naziance"", ""Saint Gr\u00e9goire de Nazianze""]","[""Gregorius Nazianzenus Theologus"", ""Gregorius Theologus""]","[""Ancient Greek""]",Gregorios of Nazianzos,341
Cyril of Alexandria,Cyrille d'Alexandrie,Cyrillus Alexandrinus,Q44079,Cyril of Alexandria (saint),190218431,32,25,"[""Doctor of the Incarnation"", ""Cyrillus Alexandrinus""]","[""Cyrille""]",[],"[""Ancient Greek""]",Kyrillos of Alexandria,505
Ignatius of Antioch,Ignace,Ignatius Antiochenus,Q44170,Ignatius of Antioch (saint),267432724,78,54,"[""Ignatius Antiochenus"", ""St. Ignatius"", ""Saint Ignatius of Antioch""]","[""Ignace d\u2019Antioche"", ""Saint Ignace d'Antioche""]","[""Ignatius Antiochensis""]","[""Ancient Greek""]",Ignatios of Antiocheia,412
Basil of Caesarea,Basile de Césarée,Basilius Caesariensis,Q44258,Basil of Caesarea,88967224,82,66,"[""Basilius Magnus"", ""Saint Basil the Great"", ""St. Basil The Great""]","[""Saint Basile de C\u00e9sar\u00e9e"", ""Saint Basile le Grand"", ""Basile de Cesaree"", ""Basile Le Grand""]","[""Basilius Magnus""]","[""Ancient Greek""]",Basileios of Kaisareia,154
Strabo,Strabon,Strabo,Q45936,Strabo,100219883,132,114,"[""Strabo of Amaseia""]","[""Strabon d\u2019Amas\u00e9e""]","[""Strabo Geographus"", ""Strabo Amasiotes""]","[""Ancient Greek""]",Strabon,886
Euripides,Euripide,Euripides,Q48305,Euripides,9553153063127619320004,342,181,[],[],"[""Euripides Tragicus""]","[""Ancient Greek""]",Euripides,299
Diogenes Laërtius,Diogène Laërce,Diogenes Laertius,Q59138,Diogenes Laërtius,41839141,220,162,"[""Diogenes Laertius""]","[""Diog\u00e8ne de La\u00ebrte"", ""Diog\u00e8ne de Laerte"", ""Diogene Laerce"", ""Diog\u00e8ne Laerce"", ""Diogenes Laertius"", ""Diog\u00e8ne de La\u00ebrt\u00e8s""]","[""Diogenes Laertios"", ""Diogenes La\u00ebrtius"", ""Diogenes Laertius Biographus""]","[""Ancient Greek""]",Diogenes Laertios,237
Demosthenes,Démosthène,Demosthenes,Q117253,Demosthenes,268302412,449,212,"[""Dimosthenis""]",[],"[""Demosthenes Atheniensis"", ""Demosthenes Orator""]","[""Ancient Greek""]",Demosthenes,226
Xenophon,Xénophon,Xenophon,Q129772,Xenophon of Athens,89597697,569,270,"[""Xenophon of Athens""]","[""Xenophon""]","[""Xenophon Historicus"", ""Xenophon Atheniensis""]","[""Ancient Greek""]",Xenophon,972
Polybius,Polybe,Polybius,Q131169,Polybius,18152380130901762264,284,196,"[""Polybius of Megalopolis""]","[""Pol\u00fabios"", ""Polybius""]","[""Polybius Historicus"", ""Polybius Megalopolitanus""]","[""Ancient Greek""]",Polybios,700
Plotinus,Plotin,Plotinus,Q134189,Plotinus,108386765,27,25,"[""Plotinos""]",[],"[""Plotinus Lycopolitanus"", ""Plotinus Philosophus""]","[""Ancient Greek""]",Plotinos,3481
Josephus,Flavius Josèphe,Flavius Iosephus,Q134461,"Josephus, Flavius",22143666,618,388,"[""Flavius Iosephus"", ""Flavius Josephus"", ""Joseph ben Matityahu"", ""Titus Flavius Josephus""]","[""Titus-Flauius Josephus"", ""Titus Flauius Josephus"", ""Titus-Flavius Jos\u00e8phe"", ""Jos\u00e8phe ben Mattatias"", ""Josephus"", ""Titus Flavius Jos\u00e8phe"", ""Flavius Josephe"", ""Yossef ben Matityahou""]","[""Iosephus Historicus"", ""Flavius Josephus"", ""Josephus Historicus""]","[""Ancient Greek""]",Flavius Iosephos,318
Pindar,Pindare,Pindarus,Q134929,Pindar,100181310,317,164,"[""Pindaros"", ""Pindarus"", ""Dirc\u00e6an Swan""]",[],"[""Pindarus Poeta"", ""Pindarus Boeotus"", ""Pindarus Lyricus""]","[""Ancient Greek""]",Pindaros,690
Theophrastus,Théophraste,Theophrastus,Q160362,Theophrastus,265397758,419,268,"[""Theophrastus of Eresos"", ""Theophr.""]","[""Theophraste"", ""Theophrastus"", ""Th\u00e9ophraste d'Ath\u00e8nes"", ""Theophr.""]","[""Theophrastus Philosophus"", ""Tyrtamus"", ""Theophrastus Eresius""]","[""Ancient Greek""]",Theophrastos,931
