english_label,french_label,latin_label,q_identifier,trismegistos_label,trismegistos_id,english_aliases,french_aliases,latin_aliases,writing_languages,viaf_id
Marcus Cornelius Fronto,Fronton,Marcus Cornelius Fronto,Q317055,Fronto,323,"[""Fronto""]","[""Marcus Cornelius Fronto""]","[""Fronto Rhetor"", ""Fronto"", ""Marcus Cornelius Fronto Rhetor""]","[""Latin""]","[""73172818716812651427"", ""6339151474996400490004"", ""287406042"", ""2599151172696039210001"", ""1832159474222127662039"", ""797154380942030290860"", ""66499129""]"
Columella,Columelle,Lucius Iunius Moderatus Columella,Q318317,Columella,199,"[""Lucius Kolumella"", ""Lucius Iunius Moderatus Columella"", ""Lucius Columella"", ""Lucius Junius Moderatus Columella"", ""L. Iunius Moderatus Columella""]","[""Lucius Columella""]","[""Columella""]","[""Latin""]","[""6814159248321404870003"", ""54156035"", ""95243635"", ""770154380937430290504""]"
Martianus Capella,Martianus Capella,Martianus Capella,Q348408,Martianus Capella,560,"[""Martianus Minneus Felix Capella"", ""M. Capella"", ""Martian Capella"", ""Martian"", ""Martian. Capella"", ""Martianus"", ""Capella""]","[""Marcien Capella"", ""Martianus""]","[""Martianus Minneus Felix Capella"", ""Felix Capella"", ""Martianus"", ""Martianus Cap."", ""Martianus Capella Carthaginiensis""]","[""Latin""]","[""2832159477709027990007"", ""251212829"", ""305857369"", ""95152094""]"
Servius,Servius,Maurus Servius Honoratus,Q355350,Servius,839,"[""Servius Honoratus"", ""Marius Servius Honoratus"", ""Marius Servius"", ""Sergius"", ""Maurus Servius Honoratus"", ""Seregius""]","[""Maurus Servius Honoratus""]","[""Servius"", ""Servius Grammaticus""]","[""Latin""]","[""306452466"", ""123145857074322921977"", ""10970700""]"
Priscian,Priscien de Césarée,Priscianus Caesariensis,Q356433,Priscianus,715,"[""Priscianus"", ""Priscian of Caesarea""]","[""Priscien""]","[""Priscianus"", ""Priscianus Caesarensis"", ""Priscianus Grammaticus""]","[""Latin""]","[""95155767385227760243"", ""87630716"", ""2425161453831564330001"", ""213167803615217772888"", ""187167803613517772879"", ""58160307480557742198"", ""461154380952730291290"", ""7928151247963444270005"", ""278158790748238852817"", ""76294069""]"
Tyrannius Rufinus,Rufin d'Aquilée,Tyrannius Rufinus,Q365835,Rufinus of Aquileia,819,"[""Rufinus Aquileiensis"", ""Rufinus of Concordia"", ""Rufinus of Aquileia""]","[""Tyrannius Rufinus"", ""Rufin d'Aquilee""]","[""Rufinus Aquileiensis"", ""Rufinus Scriptor ecclesiasticus""]","[""Latin""]","[""184145857061722921641"", ""77679446"", ""595158790752538852912""]"
Valerius Maximus,Valère Maxime,Valerius Maximus,Q379991,Valerius Maximus,951,"[""Quintus V. Maximus"", ""Caius Valerius Maximus""]","[""Valere Maxime"", ""Valerius Maximus"", ""Val\u00e8re-Maxime""]","[""Valerius Maximus Historicus""]","[""Latin""]","[""9355159477700927990000"", ""84976721"", ""146167803562517772532"", ""138167803561417772526"", ""784154380968030291326"", ""182160307244257740518"", ""25395604""]"
Dracontius,Dracontius,Blossius Aemilius Dracontius,Q885446,Blossius Aemilius Dracontius,5946,"[""Blossius Aemilius Dracontius""]","[""Blossius Aemilius Dracontius""]","[""Dracontius"", ""Dracontius Afer"", ""Dracontius Poeta""]","[""Latin""]","[""129151776759018010376"", ""178625980"", ""224958933""]"
Scriptores Historiae Augustae,Scriptores Historiae Augustae,Scriptores Historiae Augustae,Q9334638,Scriptores Historiae Augustae,5058,[],[],[],"[""Latin""]","[""859146997187618890664""]"
Augustus,Auguste,Augustus,Q1405,Augustus,138,"[""Gaius Julius Caesar"", ""Gaius Octavius Caepias"", ""Gaius Octavian"", ""Octavius Caesar"", ""Gaius Julius Caesar Augustus"", ""Caesar Octavianus"", ""Gaius Julius Caesar Octavianus"", ""Octavianus"", ""Augustus Caesar"", ""Caius Octavius Thurinus"", ""Caius Octavius"", ""Octavian"", ""Gaius Caesar"", ""Caius Julius C\u00e6sar Octavianus"", ""Gaius Octavius"", ""Gaius Octavius Thurinus"", ""Caesar Augustus"", ""Imperator Gaius Julius Caesar Octavianus Divi Filius Augustus"", ""Gaius Julius Caesar Octavianus Augustus""]","[""C\u00e9sar Auguste"", ""Octave"", ""Gaius Julius Caesar"", ""Empereur Romain Auguste"", ""Octavius Caesar"", ""Gaius Octavius"", ""Caesar Augustus"", ""Octavien"", ""Gaius Julius Caesar Augustus""]","[""\u0393\u03ac\u03ca\u03bf\u03c2 \u1f48\u03ba\u03c4\u03b1\u03bf\u03cd\u03b9\u03bf\u03c2"", ""Imperator Caesar Divi F. Augustus"", ""Imperator Caesar Divi Filius Augustus"", ""Gaius Octavius"", ""\u039a\u03b1\u1fd6\u03c3\u03b1\u03c1 \u03a3\u03b5\u03b2\u03b1\u03c3\u03c4\u03cc\u03c2 \u03b8\u03b5\u03cc\u03c2"", ""Gaius Iulius Caesar Octavianus"", ""Imperator Caesar Divi f. Augustus""]","[""Latin""]","[""736158790622738851366"", ""593144647699322575560"", ""2081153063189619320009"", ""1184153063236619320002"", ""18013086""]"
Seneca,Sénèque,Lucius Annaeus Seneca minor,Q2054,Seneca,1102,"[""Lucius Annaeus Seneca"", ""L. Ann\u00e6us Seneca"", ""Annaeus Seneca"", ""Lucio Anneo Seneca"", ""Lucius Annaeus Seneca Iunior"", ""Seneca the Younger"", ""Lucius Annaeus Seneca minor"", ""the Younger Seneca"", ""Lucius Annaeus Seneca the Younger""]","[""Lucius Annaeus Seneca"", ""S\u00e9n\u00e8que le Jeune"", ""S\u00e9n\u00e8que le Philosophe""]","[""Lucius Annaeus Seneca"", ""Cordubensis"", ""L. Annaeus Seneca""]","[""Latin""]","[""60158790620538851262"", ""3786150033036611180005"", ""305055209"", ""106144782995760250861"", ""100198038"", ""61159234009903370471""]"
Quintus Curtius Rufus,Quinte-Curce,Quintus Curtius Rufus,Q5959,Curtius Rufus,209,"[""Curtius Rufus""]","[""Quinte Curce"", ""Quintus Curtius Rufus""]","[""Curtius Rufus"", ""Curtius Rufus Historicus""]","[""Latin""]","[""77158790747638852810"", ""7175168657993119520002"", ""34144928075854340811"", ""3180168657975019520005"", ""1674159478137027990000"", ""7319149544616300490003"", ""1182154380973130291473"", ""73866222""]"
Gaius Cornelius Gallus,Caius Cornelius Gallus,Gaius Cornelius Gallus,Q8825,Gaius Cornelius Gallus,203,"[""Cornelius Gallus""]","[""Gaius Cornelius Gallus""]","[""Cornelius Gallus"", ""Gallus Poeta""]","[""Latin""]","[""821154380990430291225"", ""118149106185268491428"", ""79139886""]"
Gregory I,Grégoire Ier,Gregorius Magnus,Q42827,Gregorius Magnus,345,"[""Pope Gregory I"", ""Pope Gregory the Great"", ""St Gregory I"", ""Pope Saint Gregory I"", ""St. Gregory the Dialogist"", ""Pope St. Gregory I"", ""Saint Gregory"", ""St Gregory the Great"", ""Gregorius Anicius"", ""Gregory"", ""Saint Gregory the Dialogist"", ""Pope Saint Gregory I the Great"", ""Saint Gregorius Magnus"", ""Gregorius Magnus"", ""St. Gregory the Great"", ""Saint Gregory I"", ""Saint Gregory the Great"", ""Gregory the Great"", ""Gregory The Great"", ""St Gregory""]","[""Gregoire le Grand"", ""Gr\u00e9goire 1er"", ""Gr\u00e9goire Ier le Grand"", ""Gr\u00e9goire le Grand"", ""Gregoire Ier"", ""saint Gr\u00e9goire le grand""]","[""Sanctus Gregorius PP. I Magnus"", ""Sanctus Gregorius"", ""Gregorius I"", ""Sanctus Gregorius Magnus""]","[""Latin""]","[""8978167867569623060006"", ""8856148997662259870004"", ""7802167867526223060008"", ""758154381044030291947"", ""7451167867524823060008"", ""63158790629638851734"", ""5819168049046738410000"", ""54148539"", ""394158790634838852045"", ""307185644"", ""305078616"", ""283027091"", ""2167867486423060004"", ""103646037"", ""100184667""]"
Hermes Trismegistus,Hermès Trismégiste,Hermes Trismegistus,Q192358,Anonymi of the Corpus Hermeticum,205,"[""Trismegistus""]","[""Hermes Trismegistus"", ""Herm\u00e8s Trismegiste"", ""Hermes Trismegiste""]","[""Mercurius ter Maximus""]","[""Ancient Greek""]","[""26151776784718011759"", ""3267160668324503560001"", ""822144647705342525212"", ""82154381046430292063"", ""65145970325532252490"", ""24571510""]"
Callimachus,Callimaque de Cyrène,Callimachus,Q192417,Kallimachos,480,"[""Kallimachos of Kyrene"", ""Battiades"", ""Callimachus of Cyrene""]","[""Callimaque"", ""Callimaque de Cyrene""]","[""Callimachus Philosophus"", ""Callimachus Cyrenaicus"", ""Callimachus Poeta"", ""Callimachus Cyrenaeus"", ""Callimachus Cyrenensis""]","[""Ancient Greek""]","[""84208787"", ""60168109565243630001"", ""141158790511738850835"", ""122037216"", ""109219133"", ""362160667876403560002"", ""579144647714215276450"", ""1119154381016330291560"", ""575144647709574344339"", ""298764907"", ""99454635"", ""227445321""]"
Archilochus of Paros,Archiloque,Archilochus,Q201323,Archilochos,101,"[""Archilochus of Paros""]","[""Archiloque de Paros""]","[""Archilochus Elegiacus"", ""Archilochus Poeta"", ""Archilochus Iambographus"", ""Archilochus Parius""]","[""Ancient Greek""]","[""90630499"", ""518159474048527660066"", ""317027845"", ""266614705"", ""181079938"", ""643154380946130290467"", ""2161028825823741630"", ""1987159474199927661115"", ""104160307498257742372"", ""100167694"", ""161630631""]"
Chrysippus of Soli,Chrysippe de Soles,Chrysippus,Q211411,Chrysippos,186,"[""Chrysippus""]","[""Chrysippos de Cilicie"", ""Chrysippe de Soli"", ""Chrysippe de Cilicie"", ""Chrysippos de Soles""]","[""Chrysippus Philosophus"", ""Chrysippus Soleus"", ""Chrysippus Stoicus"", ""Chrysippus Solensis""]","[""Ancient Greek""]","[""1360159478343627990008"", ""674144647710268895788"", ""7407159478059227990004"", ""265285548"", ""42151776727918010504"", ""440159474214827662000"", ""3521307""]"
Alcaeus of Mytilene,Alcée de Mytilène,Alcaeus,Q212872,Alkaios,40,"[""Alc\u00e6us"", ""Alcaeus"", ""Alc\u00e6us of Mitylene"", ""Alkaios""]","[""Alc\u00e9e de Lesbos""]","[""Alcaeus Mytilenaeus"", ""Alcaeus Lyricus"", ""Alcaeus Lesbius"", ""Alc\u00e6us Mitylen\u00e6us""]","[""Ancient Greek""]","[""6682151248004244270001"", ""3912158369765801460008"", ""385159474332927662940"", ""3100163091960095070001"", ""283248630"", ""181903363"", ""100168958"", ""100168927"", ""100168936"", ""100168943"", ""315535428"", ""297152138683210982487"", ""228050642"", ""3232159477848727990001"", ""1049154380922530290279""]"
Theocritus,Théocrite,Theocritus,Q219484,Theokritos,925,"[""Theocrates""]","[""Theocrite""]","[""Theocritus Bucolicus"", ""Theocritus Syracusanus"", ""Theocritus Syracusius"", ""Theocritus Poeta""]","[""Ancient Greek""]","[""6986153954879605680006"", ""262139326"", ""226488752"", ""181158790509138850105"", ""100186918"", ""880154380948130290566"", ""121151776730118010714"", ""806144647699829848285"", ""8695147907518079210001"", ""95161348"", ""1145857073622921994""]"
Achilles Tatius,Achille Tatius,Achilles Tatius,Q221951,Achilleus Tatios,7,"[""Achilleus Tatios""]","[""Achille Tatios"", ""Achilles Tatius""]","[""Achilles Tatius Scriptor eroticus""]","[""Ancient Greek""]","[""5902159248143904870005"", ""130158790509738850716"", ""100218741"", ""89002230""]"
Photios I of Constantinople,Photios Ier de Constantinople,Photius I,Q243187,Photios,687,"[""Patriarch Photius I of Constantinople"", ""Photius"", ""Photios"", ""Patriarch Photios I of Constantinople"", ""Photios the Great"", ""Photius I of Constantinople""]","[""Photios de Constantinople"", ""Photius de Constantinople""]","[""Photius Theologus"", ""Photius Lexicographus"", ""Photius"", ""Photius Scriptor ecclesiasticus"", ""Photius Patriarcha Constantinopolitanus"", ""Photius Constantinopolitanus"", ""Photius Philologus"", ""Photius Patriarcha""]","[""Ancient Greek""]","[""263386225"", ""315655815"", ""268705449"", ""14775071""]"
Libanius,Libanios,Libanius,Q263892,Libanios,520,"[""Libanius Sophista"", ""Libanius of Antioch"", ""Libanius the Sophist"", ""Libanios""]",[],"[""Libanius Sophista"", ""Libanius Rhetor"", ""Libanius Antiochenus""]","[""Ancient Greek""]","[""7037159248469404870006"", ""1367159477889227990003"", ""331159474179227661340"", ""3324156317458202350001"", ""17225859"", ""3035156374130107710004""]"
Longus,Longus,Longus,Q314949,Longos,2857,[],[],"[""Longus Sophista"", ""Longus Scriptor eroticus""]","[""Ancient Greek""]","[""98675960"", ""163408645""]"
Simonides of Ceos,Simonide de Céos,Simonides,Q273003,Simonides of Keos,857,"[""Simonides of Keos"", ""Simonides""]","[""Simonide de Ceos"", ""Simonide""]","[""Simonides Ceus"", ""Simonides Lyricus""]","[""Ancient Greek""]","[""302213356"", ""288144647698790707288"", ""359158790511138850840"", ""32789346"", ""265154381048530292276"", ""1998159474074427660797"", ""281144647702775543968"", ""3926768""]"
Alcman,Alcman,Alcman,Q298850,Alkman,42,[],[],"[""Alcman Lyricus"", ""Alcman Lacedaemonius""]","[""Ancient Greek""]","[""4337159248105004870000"", ""356159474174227661126"", ""215998227"", ""20161029037723742541"", ""1047159248568204870000"", ""100166478"", ""480144647709849311306"", ""626158790742338852580"", ""320144647706588902685"", ""100166466"", ""980154381065330292139"", ""238639815"", ""266144783003245102867""]"
Bacchylides,Bacchylide,Bacchylides,Q310681,Bakchylides,146,[],"[""Bacchylide de C\u00e9os""]","[""Bacchylides Lyricus"", ""Bacchylides Ceus""]","[""Ancient Greek""]","[""9526168049016738410002"", ""7954163159938401640006"", ""71145542365696640532"", ""416159474047827660258"", ""298411750"", ""284615891"", ""264365458"", ""263125515"", ""100169194"", ""261224558"", ""268770923"", ""2160159474222127661993"", ""122158790620138851302"", ""73927363"", ""100169207"", ""188154381053530292587""]"
Iamblichus,Jamblique,Iamblichus,Q310916,Iamblichos of Chalkis,2596,"[""Iamblichus of Chalcis""]","[""Iamblichus"", ""Jamblique de Chalcis"", ""Jamblique de Tyr""]","[""Abammon Syrus"", ""Iamblichus Philosophus"", ""Iamblichus Chalcidensis""]","[""Ancient Greek""]","[""89602142"", ""5305167807441118130003"", ""3606167867548623060006"", ""265554401"", ""261523469"", ""261078727"", ""2558151247938544270009"", ""249538137"", ""235167803141517771683"", ""230167803141517771697"", ""228167803140917771671"", ""205167803165617771926"", ""1751168048980538410008"", ""121581633"", ""1044167867500123060006"", ""1996149544575100490003"", ""171326282"", ""12310254"", ""1064154380943030290407""]"
Nonnus of Panopolis,Nonnos de Panopolis,Nonnus,Q312916,Nonnos of Panopolis,604,"[""Nonnus""]",[],"[""Nonnus Panopolitanus"", ""Nonnus Epicus""]","[""Ancient Greek""]","[""6901159478035627990005"", ""531159234571103372057"", ""35152380035001760653"", ""2428154387447330970003"", ""13160907019212690236"", ""59144814261868759981"", ""405144647712631813729"", ""402144647700045232371"", ""34461071""]"
Heliodorus of Emesa,Héliodore d’Émèse,Heliodorus Emesenus,Q313011,Heliodoros of Emesa,1274,"[""Heliodorus""]","[""Heliodore d'Emese"", ""H\u00e9liodore""]","[""Heliodorus Scriptor eroticus"", ""Heliodorus""]","[""Ancient Greek""]","[""701159234148903370944"", ""305132214"", ""268854152"", ""264843679"", ""142158790629238851717"", ""62748316"", ""1903159474333427662279""]"
Anaxagoras,Anaxagore de Clazomènes,Anaxagoras,Q83041,Anaxagoras,1538,"[""Anaxagoras of Clazomenae""]","[""Anaxagore de Clazomenes"", ""Anaxagoras"", ""Anaxagore de Clazom\u00e8ne""]","[""Anaxagoras Clazomenius""]","[""Ancient Greek""]","[""262631122"", ""298159474307927662281"", ""785154380941230290740"", ""378158790749138852936"", ""24645587""]"
Empedocles,Empédocle,Empedocles,Q83375,Empedokles,267,[],"[""Emp\u00e9docle d'Agrigente"", ""Emp\u00e9docle d\u2019Agrigente"", ""Empedocle d'Agrigente""]","[""Empedocles Philosophus""]","[""Ancient Greek""]","[""83983162"", ""266131958"", ""172385490"", ""424159474327027662800"", ""37152380102201761864"", ""150158790621138851111"", ""431144647698802820867"", ""297576907"", ""100181979""]"
Arius,Arius,Arius,Q106026,Areios,104,"[""Arius of Alexandria""]","[""Arius d'Alexandrie""]","[""Arius Alexandrinus"", ""Arius Haeresiarcha""]","[""Ancient Greek""]","[""12404999"", ""266508537""]"
Parmenides,Parménide,Parmenides,Q125551,Parmenides,3340,"[""Parmenides of Elea""]","[""Parmenide"", ""Parm\u00e9nide d'\u00c9l\u00e9e"", ""Parmenides""]","[""Parmenides Philosophus"", ""Parmenides Poeta"", ""Parmenides Eleaticus""]","[""Ancient Greek""]","[""85176683"", ""6647168049003638410005"", ""6505168049002738410003"", ""228895836"", ""100227837"", ""242154380930030290536"", ""263903469"", ""316903820"", ""57151776745618011100"", ""194145858093123021850"", ""306477808"", ""356144647703827932925"", ""100227844"", ""104174673""]"
Xenophanes,Xénophane,Xenophanes,Q131671,Xenophanes of Kolophon,4776,"[""Xenophanes of Colophon""]","[""X\u00e9nophane de Colophon"", ""Xenophane de Colophon""]","[""Xenophanes Philosophus"", ""Xenophanes Poeta"", ""Xenophanes Colophonius""]","[""Ancient Greek""]","[""44365678"", ""421158790740438852548"", ""2717168048985738410007"", ""193736227"", ""123657980"", ""100175481"", ""580154381061530292484"", ""100175475"", ""264262541"", ""87621276""]"
Solon,Solon,Solon,Q133337,Solon,864,"[""Solon of Athens""]","[""Solon d'Ath\u00e8nes""]","[""Solon Nomographus"", ""Solon Atheniensis"", ""Solon Philosophus"", ""Solon Poeta""]","[""Ancient Greek""]","[""8845160667712103560005"", ""84037247"", ""79138898"", ""4493168048993538410001"", ""380159474194227662033"", ""221682200"", ""165545503"", ""2307159248659004870004"", ""829144647671468179720"", ""81144814374407675870"", ""474158790626838851378"", ""12286461"", ""10160667497703560006"", ""14908273""]"
Protagoras,Protagoras,Protagoras,Q169243,Protagoras Abderita,8079,"[""Protagoras of Abdera""]","[""Protagoras d\u2019Abd\u00e8re"", ""Protagoras d'Abd\u00e8re""]","[""Protagoras Sophista"", ""Protagoras Abderita""]","[""Ancient Greek""]","[""84036582"", ""528159474182027661490"", ""42151776817318012232"", ""286687547"", ""238415970"", ""2094159474196327661084"", ""14755032"", ""733154380896430290026"", ""1337149296185780670004"", ""6140159248080804870001"", ""8180133"", ""87733041"", ""153644"", ""680145857877423020708"", ""336158790626338851424""]"
Posidonius,Posidonios,Posidonius Apameus,Q185770,Poseidonios of Apameia,710,"[""Poseidonios"", ""Posidonius of Apamea""]","[""Posidonios de Rhodes"", ""Poseidonios d'Apam\u00e9e"", ""Poseidonios"", ""Posidonius d'Apam\u00e9e"", ""Poseid\u00f4nios"", ""Posidonios d'Apam\u00e9e"", ""Posidonius"", ""Posidonius de Rhodes""]","[""Posidonius Philosophus"", ""Posidonius"", ""Posidonius Rhodius""]","[""Ancient Greek""]","[""751168048976138410000"", ""273159474047827660150"", ""25151776784918011936"", ""2265159477569327990002"", ""212529045"", ""1815158070742908780008"", ""1563159474203827661465"", ""55160307380157741862"", ""315688789"", ""24644250""]"
Tatian,Tatien le Syrien,Tatianus,Q272087,Tatianos,900,"[""Tatianus"", ""Tatian the Syrian""]","[""Tatien""]","[""Tatianus Syrus"", ""Tatianus Assyrius""]","[""Syriac""]","[""265270221"", ""263967414"", ""261326349"", ""108145542385196641474"", ""1685151778254218130006"", ""5533149068626565730006"", ""833154381062030292328"", ""17149542839800302189"", ""161432014"", ""213906380"", ""595159474060027660638"", ""78777213""]"
Alexandros of Aphrodisias,Alexandre d’Aphrodise,Alexander Aphrodisiensis,Q317146,Alexandros of Aphrodisias,1461,"[""Alexander of Aphrodisias""]","[""Alexandre d'Aphrodisias"", ""Alexandre d'Aphrodisie""]",[],"[""Ancient Greek""]","[""435144647706152759081"", ""100154381052130291895"", ""95239377"", ""2155149544576400490005"", ""365144647669656384141"", ""154145857007522921113""]"
John Philoponus,Jean Philopon,Iohannes Philoponus,Q317632,Ioannes Philoponos,426,"[""Johannes Philoponus"", ""Philoponus""]","[""Johannes Philoponus"", ""Jean Philopone"", ""Jean Philoppon"", ""Philopon""]","[""Johannes Philoponus"", ""Iohannes Grammaticus"", ""Johannes Grammaticus"", ""Philoponus""]","[""Ancient Greek""]","[""73160307492257742254"", ""9227152140010811100009"", ""98118283""]"
Homer,Homère,Homerus,Q6691,Homeros,393,"[""Homeros"", ""Homerus"", ""M\u00e6onides""]",[],"[""Homerus Epicus""]","[""Ancient Greek""]","[""382159474179327661328"", ""224924963"", ""1145857053522921435""]"
Euclid,Euclide,Euclides,Q8747,Eukleides,293,"[""Euclides"", ""Eukleides"", ""Euclid of Alexandria""]",[],"[""Euclides Alexandrinus"", ""Euclides Mathematicus"", ""Euclides Geometra""]","[""Ancient Greek""]","[""7963168049009338410008"", ""314893948"", ""305411082"", ""301159474047527660202"", ""222960141"", ""104169941"", ""100219655"", ""982154380949230291090"", ""266578192"", ""113145857115322922311"", ""667144647685769784378"", ""173181669"", ""176184097""]"
Dionysius of Halicarnassus,Denys d'Halicarnasse,Dionysius Halicarnasseus,Q26204,Dionysios of Halikarnassos,247,"[""Dionysios of Halikarnassos""]","[""Denys d'Halycarnasse""]","[""Dionysius Halicarnassensis"", ""Dionysius Halicarnassensis Historicus"", ""Dionysius Halicarnassensis Rhetor""]","[""Ancient Greek""]","[""477144647696295429020"", ""311579964"", ""299442087"", ""284605101"", ""172981747"", ""166762931"", ""832154380945530290441"", ""206318322"", ""3992149544590700490002"", ""100218889""]"
Herodotus,Hérodote,Herodotus,Q26825,Herodotos,376,"[""Herodotos"", ""Herodotus of Halicarnassus"", ""Father of History""]","[""H\u00e9rodote d'Halicarnasse"", ""Herodote"", ""H\u00e9rodote de Thourioi""]","[""Herodotus Halicarnassensis""]","[""Ancient Greek""]","[""662168049022538410002"", ""245167803128617771338"", ""216167803126417771311"", ""210167803127817771329"", ""80163510515710932408"", ""402144647701834919908"", ""4194151247992944270005"", ""165151776736318010617"", ""753154381062630292484"", ""4183147907508079210004"", ""361144647696882257017"", ""100225976""]"
Aeschylus,Eschyle,Aeschylus,Q40939,Aischylos,25,"[""Aeschylos"", ""\u00c6schylus""]","[""\u00c9chille"", ""\u00c9schyle"", ""Aiskh\u00falos""]","[""Aeschylus Tragicus"", ""Aeschylus Atheniensis"", ""Aeschylus tragicus""]","[""Ancient Greek""]","[""78769732"", ""750154380930930290321"", ""7386159477742827990004"", ""5901159477601127990007"", ""5811159477600927990004"", ""5226159477830027990009"", ""48164536609632021795"", ""4372168048993038410008"", ""268159474328927662894"", ""266321497"", ""262861946"", ""26163567566516380806"", ""261472932"", ""2522159477570027990008"", ""2061159477868527990001"", ""109158790744438852803"", ""104143945"", ""375144647701289307784"", ""805144647705408955770"", ""9204159478063327990003"", ""268526195"", ""3145857035722921320""]"
Heraclitus,Héraclite,Heraclitus,Q41155,Herakleitos of Ephesos,1047,"[""Heraclitus of Ephesus"", ""Weeping Philosopher""]","[""Heraklit"", ""H\u00e9raclite d'Eph\u00e8se"", ""Heraclite"", ""H\u00e9raclite d'\u00c9ph\u00e8se""]","[""Heraclitus Ephesius"", ""Heraclitus Philosophus""]","[""Ancient Greek""]","[""89803406"", ""89803370"", ""89050190"", ""309812836"", ""285165132"", ""281291166"", ""167145856839322920047"", ""14167760373013572528"", ""107545508"", ""1200160667942403560004"", ""316786950"", ""419144647697825920539"", ""45158790741138852673"", ""104815994"", ""101906635"", ""84002311"", ""89314880""]"
